Preferred Label,Synonyms
IGF059/79 cell,IGF059/79
GM15647 cell,GM15647
RCB2383 cell,KT18|RCB2383
AG07311 cell,AG07311
GM15083 cell,GM15083
PR00634 cell,PR00634
ND14671 cell,ND14671
objective specification,goal specification
ND12226 cell,ND12226
MM.1S cell,
LLC-RK1 cell,LLC-RK1
GM15132 cell,GM15132
SA88 cell,SA88
ND04523 cell,ND04523
DA03017 cell,DA03017
ND11210 cell,ND11210
GM00979 cell,GM00979
V79 clone S cell,V79 clone S
GM10140 cell,GM10140
ND12768 cell,ND12768
ND00347 cell,ND00347
GM15216 cell,GM15216
D-502MG cell,D-502MG
RP88 cell,RP88
AG17902 cell,AG17902
ND00295 cell,ND00295
RCB1188 cell,NRS-1|RCB1188
ND13760 cell,ND13760
WC00005 cell,WC00005
DA01428 cell,DA01428
DA00252 cell,DA00252
entire pharyngeal arch endoderm,pharyngeal arch endoderm
GM20335 cell,GM20335
IGL018/98 cell,IGL018/98
breast,mamma|mammary region|mammary part of chest
GM15558 cell,GM15558
RCB0211 cell,MRC-5|RCB0211
IGF011/98 cell,IGF011/98
GM07784 cell,GM07784
MM34.We cell,MM34.We
PA95P cell,PA95P
cell line cell,
DA05882 cell,DA05882
GM09069 cell,GM09069
ND02966 cell,ND02966
immortal gray-cheeked mangabey skin-derived fibroblast cell line cell,
IGL006/00 cell,IGL006/00
ND10304 cell,ND10304
GM06938 cell,GM06938
visual pathway disease,"""visual pathway disorder"" EXACT []"
ND14642 cell,ND14642
ND05285 cell,ND05285
GM10862 cell,GM10862
assay array,
GM19718 cell,GM19718
AG14731 cell,AG14731
GM07299 cell,GM07299
PR00017 cell,PR00017
ND13076 cell,ND13076
HQ00832 cell,HQ00832
IGF009/92 cell,IGF009/92
GM16859 cell,GM16859
RCB1485 cell,JTC-12|RCB1485
GM15434 cell,GM15434
GM13336 cell,GM13336
ND09403 cell,ND09403
Equus <genus>,Equus
7E3 cell,7.00E+03
GM14201 cell,GM14201
AG14739 cell,AG14739
AG09561 cell,AG09561
GM04763 cell,GM04763
DA03653 cell,DA03653
FC70.We cell,FC70.We
GM13267 cell,GM13267
DA06139 cell,DA06139
GM17752 cell,GM17752
IGF061/84 cell,IGF061/84
GM18062 cell,GM18062
ND11113 cell,ND11113
DA06599 cell,DA06599
biliary tract cancer,malignant tumour of biliary tract
DA04803 cell,DA04803
ND04286 cell,ND04286
IGF019/84 cell,IGF019/84
GM19436 cell,GM19436
ND13483 cell,ND13483
GM02339 cell,GM02339
opacity,
GM14504 cell,GM14504
IGF013/01 cell,IGF013/01
ND07110 cell,ND07110
GM01251 cell,GM01251
GM00620 cell,GM00620
DA05640 cell,DA05640
RCB1718 cell,IP3R type1^(-)/3^(-) DT40|RCB1718
BCWM.1 cell,BCWM.1
IGF067/95 cell,IGF067/95
ND03661 cell,ND03661
ND04984 cell,ND04984
DA03091 cell,DA03091
AU10174 cell,AU10174
intracellular anatomical structure,nucleocytoplasm|protoplast|intracellular|internal to cell|protoplasm
GM18322 cell,GM18322
IGL024/96 cell,IGL024/96
FC58.Thy cell,FC58.Thy
DA00512 cell,DA00512
GM50175 cell,GM50175
ND10967 cell,ND10967
ND02641 cell,ND02641
skin cancer,"cancer of skin|CA - skin cancer|melanoma and Non-melanoma skin cancer|malignant neoplasm of skin|""malignant neoplasm of skin, unspecified (disorder)"" EXACT [SNOMEDCT_2005_07_31:190107001]|""malignant neoplasm of skin NOS (disorder)"" EXACT [SNOMEDCT_2005_07_31:188143008]|""CA - skin cancer"" EXACT [SNOMEDCT_2005_07_31:363511009]|""malignant neoplasm of skin (disorder)"" EXACT [SNOMEDCT_2005_07_31:372130007]|""melanoma and Non-melanoma skin cancer"" EXACT [NCI2004_11_17:C2920]|""malignant neoplasm of skin"" EXACT [MTH:NOCODE]|""skin cancer"" EXACT [CSP2005:2020-0536]"
2B4/BCL-2 cell,
Hs 548.Sk cell,Hs 548.Sk
IGL012/95 cell,IGL012/95
GM05022 cell,GM05022
ND10341 cell,ND10341
GM21488 cell,GM21488
HEV0288 cell,HEV0288
GM20506 cell,GM20506
Hs 866.T cell,Hs 866.T
GM07235 cell,GM07235
GM17959 cell,GM17959
GM09767 cell,GM09767
AG11795 cell,AG11795
GM01232 cell,GM01232
GM08589 cell,GM08589
IGF026/84 cell,IGF026/84
DA06501 cell,DA06501
ND11438 cell,ND11438
immortal rhesus macaque septum of telencephalon-derived cell line cell,
DA05931 cell,DA05931
DA05969 cell,DA05969
Hs 238.Sk cell,Hs 238.Sk
DA05183 cell,DA05183
ND11614 cell,ND11614
Clupea pallasii,Pacific herring
ND01074 cell,ND01074
musculoskeletal system disease,"""Musculo-skeletal disorder NOS (disorder)"" EXACT [SNOMEDCT_2005_07_31:274149006]|""disorder of musculoskeletal system (disorder)"" EXACT [SNOMEDCT_2005_07_31:928000]|""Musculo-skeletal disorder NOS"" EXACT [SNOMEDCT_2005_07_31:156881000]|""Musculoskeletal disease"" EXACT [MTH:NOCODE]|""Musculo-skeletal disorder NOS"" EXACT [SNOMEDCT_2005_07_31:268142006]|""Musuloskeletal disease"" EXACT [SNOMEDCT_2005_07_31:268047003]|""musculoskeletal disorder"" EXACT [CSP2005:4000-0257]"
neuroectodermal tumor,"""primitive Neuroectodermal neoplasm"" EXACT [NCI2004_11_17:C3716]|""Neuroectodermal tumour"" EXACT [SNOMEDCT_2005_07_31:73676002]|""Neuroectodermal tumour"" EXACT [SNOMEDCT_2005_07_31:253096008]"
vascular disease,"""internal elastic lamina"" EXACT []"
soft tissue neoplasm,"""tumor of the soft tissue"" EXACT [NCI2004_11_17:C3377]|""neoplasm of soft tissues (disorder)"" EXACT [SNOMEDCT_2005_07_31:126600002]|""neoplasm of soft tissue (disorder)"" EXACT [SNOMEDCT_2005_07_31:387837005]"
endocrine gland cancer,"malignant Endocrine tumor|endocrine neoplasm|neoplasm of endocrine system|malignant tumour of endocrine gland|malignant neoplasm of endocrine gland|Endocrine tumor|neoplasm of endocrine gland|""Endocrine tumor"" EXACT [NCI2004_11_17:C3010]|""neoplasm of endocrine system (disorder)"" EXACT [SNOMEDCT_2005_07_31:387927001]|""neoplasm of endocrine gland (disorder)"" EXACT [SNOMEDCT_2005_07_31:387922007]|""neoplasm of endocrine gland (disorder)"" EXACT [SNOMEDCT_2005_07_31:127015005]|""endocrine neoplasm"" EXACT [CSP2005:2009-5861]"
AG08625 cell,AG08625
African green monkey polyomavirus,Lymphotropic papovavirus|Lymphotropic polyomavirus|African green monkey lymphotropic papovavirus LPV|Polyomavirus cercopitheci
P3X63Ag8U.1 cell,P3X63Ag8U.1
Pfeiffer cell,Pfeiffer
GM20015 cell,GM20015
IGF046/81 cell,IGF046/81
GM07811 cell,GM07811
N-B88 cell,N-B88
GM12874 cell,GM12874
GM03433 cell,GM03433
ND04067 cell,ND04067
T47DKBLUC cell,T47DKBLUC
Hs 565(D).Mg cell,Hs 565(D).Mg
ND13416 cell,ND13416
GM04429 cell,GM04429
IGF124/81 cell,IGF124/81
DA04058 cell,DA04058
BE10-Late cell,BE10-Late
DA05195 cell,DA05195
DA04638 cell,DA04638
ND13164 cell,ND13164
RCB2265 cell,HE49|RCB2265
KM114 cell,KM114
ND13828 cell,ND13828
DA00811 cell,DA00811
AG04405 cell,AG04405
GM03039 cell,GM03039
GM14352 cell,GM14352
GM08447 cell,GM08447
ND13392 cell,ND13392
DA06039 cell,DA06039
KU-812 cell,KU-812
GM12217 cell,GM12217
ND01692 cell,ND01692
GM08956 cell,GM08956
GM00269 cell,GM00269
DA00289 cell,DA00289
ND12047 cell,ND12047
MM45T.Li cell,MM45T.Li
AG10938 cell,AG10938
KYSE-270 cell,KYSE-270
DA04820 cell,DA04820
DA02945 cell,DA02945
FIB-NC46 cell,FIB-NC46
ND09748 cell,ND09748
SUM225CWN cell,SUM225CWN
stem cell division,stem cell renewal
GM17338 cell,GM17338
76-7-4 cell,76-7-4
GM21652 cell,GM21652
SO_0000418,
GM00364 cell,GM00364
AG08488 cell,AG08488
GM06314 cell,GM06314
bile acids,
BL-20 cell,BL-20
vT{2} cell,vT{2}
HGVEC.SV1 cell,
mental retardation,
Charcot-Marie-Tooth disease,"""Charcot-Marie-Tooth disease (disorder)"" EXACT [SNOMEDCT_2005_07_31:50548001]|""CMT - Charcot-Marie-Tooth disease"" EXACT [SNOMEDCT_2005_07_31:193158000]|""CMT - Charcot-Marie-Tooth disease"" EXACT [SNOMEDCT_2005_07_31:128202008]|""Peroneal muscular atrophy"" EXACT [ICD9CM_2006:356.1]|""Charcot-Marie-Tooth disease"" EXACT [MTHICD9_2006:356.1]|""Peroneal muscular atrophy NOS (disorder)"" EXACT [SNOMEDCT_2005_07_31:193162006]|""Charcot Marie Tooth muscular atrophy"" EXACT [CSP2005:2042-7637]"
GM15992 cell,GM15992
DA04159 cell,DA04159
143.98.2 cell,143.98.2
GM10069 cell,GM10069
ND10312 cell,ND10312
GM03884 cell,GM03884
AG10757 cell,AG10757
GM07234 cell,GM07234
chemokine receptor,
HQ00936 cell,HQ00936
AG13179 cell,AG13179
HGF-1 cell,HGF-1
S005301 cell,S005301
system development,
sonic hedgehog protein,Hhg1|Shh unprocessed N-terminal signaling and C-terminal autoprocessing domains|HHG-1|SHH|ShhNC
AD94LEBV cell,AD94LEBV
R1391 cell,R1391
IGL012/01 cell,IGL012/01
ID00050 cell,ID00050
DA02632 cell,DA02632
DA02927 cell,DA02927
ND10888 cell,ND10888
ND13806 cell,ND13806
postcranial axial skeleton,axial skeleton|post-cranial axial skeleton
appendicular skeleton,paired fin skeleton|skeleton appendiculare|appendicular skeleton|entire appendicular skeleton
mesentery,generic mesentery|mesentery (generic)
skin of body,entire integument|integumental organ|integument|pelt|skin|entire skin|skin organ
GM11824 cell,GM11824
ND12027 cell,ND12027
H25B10 cell,H25B10
DA04051 cell,DA04051
IGF034/99 cell,IGF034/99
GM13485 cell,GM13485
GM19137 cell,GM19137
DH33 cell,DH33
GM11049 cell,GM11049
DA04595 cell,DA04595
MC3 cell,MC3
GM10245 cell,GM10245
DA04448 cell,DA04448
ND11524 cell,ND11524
OKP-GS cell,OKP-GS
RCB0138 cell,LX830|RCB0138
metabolic bone disease,"""bone metabolism disorder"" EXACT [CSP2005:2715-1618]|""Metabolic bone disease (disorder)"" EXACT [SNOMEDCT_2005_07_31:50279003]"
Clone I cell,Clone I
GM15811 cell,GM15811
immortal Kenya baboon skin-derived fibroblast cell line cell,
HSC0058 cell,CHI139|HSC0058
DA02119 cell,DA02119
ND14491 cell,ND14491
GM05259 cell,GM05259
GM07371 cell,GM07371
DA03323 cell,DA03323
GM09256 cell,GM09256
FIB-PSE14 cell,FIB-PSE14
ND11714 cell,ND11714
PR00051 cell,PR00051
DA05114 cell,DA05114
GM17179 cell,GM17179
osteoid,prebone tissue|osteoid tissue|pre-bone|prebone
HQ00168 cell,HQ00168
MHH-NB-11 cell,MHH-NB-11
DA05216 cell,DA05216
DA00121 cell,DA00121
DAL K20 cell,DAL K20
sphingolipidosis,"""sphingolipidoses"" EXACT []|""Sphingolipidosis, NOS"" EXACT [SNOMEDCT_2005_07_31:58459009]|""Sphingolipidosis (disorder)"" EXACT [SNOMEDCT_2005_07_31:238028008]"
B-M93 cell,B-M93
GM13322 cell,GM13322
IGL013/96 cell,IGL013/96
Ictaluridae,North American freshwater catfishes|bullhead catfishes
Ictalurus punctatus,channel catfish
luteinizing hormone secreting cell,
prolactin secreting cell,
DA02566 cell,DA02566
GM02178 cell,GM02178
GM12323 cell,GM12323
IGF009/82 cell,IGF009/82
D 14 cell,D 14
hr/hr (WE) B cell,hr/hr (WE) B
ND03771 cell,ND03771
DA04275 cell,DA04275
PR00748 cell,PR00748
ND00310 cell,ND00310
GM09885 cell,GM09885
IGF051/84 cell,IGF051/84
ND05438 cell,ND05438
GM19708 cell,GM19708
RCB2315 cell,F9/LM(1+10)|RCB2315
DFA96M cell,DFA96M
IGF100/83 cell,IGF100/83
DA04057 cell,DA04057
ND07700 cell,ND07700
AG20606 cell,AG20606
Actinopterygii,bony fishes|Osteichthyes|Actinopterygi|ray-finned fishes|fish|fishes
IGF091/79 cell,IGF091/79
immortal rat adrenal gland-derived cell line cell,
BE29G1 cell,BE29G1
PR00260 cell,PR00260
ND05074 cell,ND05074
IGF072/81 cell,IGF072/81
HQ00839 cell,HQ00839
ND13866 cell,ND13866
HL60 M4 cell,HL60 M4
ND09938 cell,ND09938
AG13358 cell,AG13358
TGP61 cell,TGP61
L89M cell,L89M
acute myeloid leukemia,"acute myelogenous leukemia|acute myeloid leukaemia|acute myelogenous leukaemia|acute myeloblastic leukaemia|Leukemia, Myelocytic, acute|acute myeloblastic leukemia|AML - acute Myeloid Leukemia"
GM05995 cell,GM05995
ND14526 cell,ND14526
Pu-518 cell,Pu-518
GM14465 cell,GM14465
GM06822 cell,GM06822
ND03870 cell,ND03870
"T-cell surface glycoprotein CD8 beta chain, signal peptide removed form",CD8B/SigPep-
"T-cell surface glycoprotein CD8 alpha chain, signal peptide removed form",CD8A/SigPep-
28-13-3S cell,28-13-3S
GM04517 cell,GM04517
GM09049 cell,GM09049
IGF022/93 cell,IGF022/93
AG11081 cell,AG11081
AG06095 cell,AG06095
MFE-319 cell,MFE-319
effector T cell,effector T-cell|effector T-lymphocyte|effector T lymphocyte
helper T cell,helper T lymphocyte|helper T-lymphocyte|T-helper cell|helper T-cell
ND04671 cell,ND04671
GM10231 cell,GM10231
GM07891 cell,GM07891
DA04629 cell,DA04629
ND13192 cell,ND13192
GM07037 cell,GM07037
Hs 431 cell,Hs 431
ND11042 cell,ND11042
IGF128/91 cell,IGF128/91
GM19746 cell,GM19746
DA00628 cell,DA00628
FH 7 cell,FH 7
HQ00690 cell,HQ00690
DA06224 cell,DA06224
4A4B11 cell,4A4B11
IMG-1143 cell,IMG-1143
ND12591 cell,ND12591
GM10123 cell,GM10123
DA06571 cell,DA06571
GM07097 cell,GM07097
ND11239 cell,ND11239
islet cell tumor,"""Islet cell tumour"" EXACT [SNOMEDCT_2005_07_31:154609001]|""Islet cell neoplasm (morphologic abnormality)"" EXACT [SNOMEDCT_2005_07_31:261713004]|""Islet cell tumor"" EXACT [MTHICD9_2006:211.7]|""Islet cell tumor (morphologic abnormality)"" EXACT [SNOMEDCT_2005_07_31:128878003]|""benign islet cell tumour"" EXACT [SNOMEDCT_2005_07_31:188855000]|""benign islet cell tumor (disorder)"" EXACT [SNOMEDCT_2005_07_31:269480005]|""Islet cell neoplasm"" EXACT [SNOMEDCT_2005_07_31:399528006]|""Islet cell tumour, benign"" EXACT [SNOMEDCT_2005_07_31:76345009]|""tumor of endocrine pancreas (disorder)"" EXACT [SNOMEDCT_2005_07_31:237596009]|""Islet cell tumour"" EXACT [SNOMEDCT_2005_07_31:269636003]|""pancreatic Endocrine neoplasm"" EXACT [NCI2004_11_17:C27031]"
GM09385 cell,GM09385
GM20234 cell,GM20234
HQ00595 cell,HQ00595
GM11895 cell,GM11895
IGF020/89 cell,IGF020/89
IgG-11H9 cell,IgG-11H9
DA02775 cell,DA02775
GM10708 cell,GM10708
CH26-1352 cell,CH26-1352
Culicidae,mosquitos
ND03938 cell,ND03938
DA01805 cell,DA01805
DA00265 cell,DA00265
454C11 cell,454C11
DA05782 cell,DA05782
GM13956 cell,GM13956
RCB1508 cell,RCB1508|clone 76
DA00708 cell,DA00708
DA01931 cell,DA01931
AG08903 cell,AG08903
mouse immortal cell line cell,mouse immortal cell line
HT 1417 cell,HT 1417
WC00018 cell,WC00018
prostate epithelium,prostatic epithelium|prostate gland epithelium|epithelium of prostatic gland|epithelium of prostate gland|prostate epithelial tissue|prostatic gland epithelium|epithelial tissue of prostate|prostate gland epithelial tissue|epithelial tissue of prostate gland|epithelium of prostate
enteric plexus,sympathetic enteric nerve plexus|plexus nervosus entericus|plexus entericus|enteric nerve plexus|intrinsic nerve plexus
GM17850 cell,GM17850
GM01850 cell,GM01850
AG07663 cell,AG07663
LM00006 cell,LM00006
DA00063 cell,DA00063
GM17336 cell,GM17336
GC95 cell,GC95
DA01268 cell,DA01268
RERF-GC-1B cell,RERF-GC-1B
GM14060 cell,GM14060
GM05236 cell,GM05236
GM10859 cell,GM10859
RCB0673 cell,PCH41-43|RCB0673
A24 cell,A24
GM11586 cell,GM11586
AG07662 cell,AG07662
IGF064/86 cell,IGF064/86
ND11465 cell,ND11465
ND10330 cell,ND10330
ND06174 cell,ND06174
AG07881 cell,AG07881
androgen,Androgene|androgene|androgenes|androgeno|androgenos|androgens|Androgen
DA02672 cell,DA02672
IGF009/90 cell,IGF009/90
GM13073 cell,GM13073
intracranial arterial disease,
GM14229 cell,GM14229
ND09110 cell,ND09110
HQ00888 cell,HQ00888
GM15420 cell,GM15420
GM15085 cell,GM15085
ND02575 cell,ND02575
IGF075/77 cell,IGF075/77
GM11059 cell,GM11059
ND11933 cell,ND11933
S005083 cell,S005083
HQ00562 cell,HQ00562
OKT 3 cell,OKT 3
AG07915 cell,AG07915
MH-SVM26 cell,MH-SVM26
G-8 cell,G-8
DA03104 cell,DA03104
DA04511 cell,DA04511
FH 71 cell,FH 71
GM11195 cell,GM11195
BC3A cell,BC3A
DA02304 cell,DA02304
ND15116 cell,ND15116
Hs 849.T cell,Hs 849.T
ND11389 cell,ND11389
GM07939 cell,GM07939
AU10113 cell,AU10113
ND05124 cell,ND05124
DA01590 cell,DA01590
RCB1626 cell,&Delta;XRCC3-DT40|RCB1626
Archelosauria,Testudines + Archosauria group|Archosauria-Testudines
immortal rat muscle cell line cell,
ND10124 cell,ND10124
AG11659 cell,AG11659
GM11063 cell,GM11063
ND06855 cell,ND06855
GM19683 cell,GM19683
DA00326 cell,DA00326
R1487 cell,R1487
GM05004 cell,GM05004
DA04123 cell,DA04123
DA01365 cell,DA01365
GM14275 cell,GM14275
GM06996 cell,GM06996
GM13972 cell,GM13972
ND00825 cell,ND00825
LPC-1047 cell,
GM14455 cell,GM14455
DA06472 cell,DA06472
GM17030 cell,GM17030
DA02563 cell,DA02563
immortal rat organism part-derived cell line cell,
AG12119 cell,AG12119
GM00897 cell,GM00897
refrigerant,refrigerants
immortal neuron cell line cell,
GM16109 cell,GM16109
M5/114.15.2 cell,M5/114.15.2
GM12784 cell,GM12784
GM14704 cell,GM14704
DA02793 cell,DA02793
Ch 1 Es (NBL-8) cell,Ch 1 Es (NBL-8)
RKO-E6 cell,RKO-E6
IMR 31 Bu cell,IMR 31 Bu
IGF118/81 cell,IGF118/81
RCB0206 cell,MOLT-4|RCB0206
GM18157 cell,GM18157
MS1 VEGF cell,MS1 VEGF
NG96 cell,NG96
heart valve disease,"""Valvular heart disease (disorder)"" EXACT [SNOMEDCT_2005_07_31:195013005]|""heart valve disorder"" EXACT [CSP2005:1393-3757]|""Heart valve disorder (disorder)"" EXACT [SNOMEDCT_2005_07_31:368009]"
GM10045 cell,GM10045
DA01662 cell,DA01662
RCB0224 cell,RCB0224|ST2
GM07924 cell,GM07924
DA03760 cell,DA03760
N22 cell,N22
P31/FUJ cell,P31/FUJ
GM02290 cell,GM02290
GM02707 cell,GM02707
ND01401 cell,ND01401
GM00166 cell,GM00166
PVBC-OI559 cell,PVBC-OI559
IGF072/83 cell,IGF072/83
GM17764 cell,GM17764
IGF117/91 cell,IGF117/91
DA02544 cell,DA02544
DA00598 cell,DA00598
IGF030/88 cell,IGF030/88
DA03205 cell,DA03205
carotid artery segment,common carotid arterial subdivision|carotid artery|subdivision of common carotid artery|carotid
ND07702 cell,ND07702
ND06969 cell,ND06969
ND04364 cell,ND04364
GM18855 cell,GM18855
PSP cell,PSP
ND01059 cell,ND01059
DA05619 cell,DA05619
GM09484 cell,GM09484
DA03207 cell,DA03207
DA05053 cell,DA05053
HQ00662 cell,HQ00662
ND11139 cell,ND11139
ND01522 cell,ND01522
ND01657 cell,ND01657
GM13664 cell,GM13664
IGL019/97 cell,IGL019/97
AG09019 cell,AG09019
muscle precursor cell,
AG20445 cell,AG20445
GM16535 cell,GM16535
Src++ cell,Src++
GM09704 cell,GM09704
GM06153 cell,GM06153
ND08466 cell,ND08466
WMP-2 cell,WMP-2
gray matter of forebrain,
AG05024 cell,AG05024
A388 cell,A388
RCB1708 cell,JHTSK-col-L|RCB1708
processed material,
ND07613 cell,ND07613
DA02997 cell,DA02997
GM03325 cell,GM03325
GM10149 cell,GM10149
AKR/13B cell,AKR/13B
DCo96 cell,DCo96
AG12021 cell,AG12021
C-C95 cell,C-C95
PGC/ERR,
IMG-691 cell,IMG-691
ND00476 cell,ND00476
DA06074 cell,DA06074
HQ00116 cell,HQ00116
HeLa 422 cell,HeLa 422
GM18854 cell,GM18854
DA00261 cell,DA00261
GM03644 cell,GM03644
RT4-D6P2T cell,RT4-D6P2T
DA00779 cell,DA00779
IGF119/84 cell,IGF119/84
IMG-1140 cell,IMG-1140
HQ00149 cell,HQ00149
GM03651 cell,GM03651
GM05016 cell,GM05016
immortal exocrine cell line cell,immortal exocrine cell line
DA01209 cell,DA01209
IGF050/87 cell,IGF050/87
ND00742 cell,ND00742
GM02775 cell,GM02775
HQ00497 cell,HQ00497
DA06465 cell,DA06465
DA02930 cell,DA02930
GM12007 cell,GM12007
AG12733 cell,AG12733
DA03026 cell,DA03026
umbilical vein,vena umbilicalis
dermis,corium|cutis|vertebrate dermis
femoral artery,arteria femoralis
DA03901 cell,DA03901
immortal skin-derived cell line cell,
abdominal segment bone,bone organ of abdominal segment of trunk|abdominal segment of trunk bone|bone of abdominal segment of trunk|abdominal segment of trunk bone organ
hindlimb zeugopod,calf|hind epipodium|leg|zeugopod of hindlimb|hind limb zeugopod|hindlimb zeudopodium|hindlimb middle limb segment|hind limb zeudopodium|hindlimb zeugopodium|posterior part of leg|regio cruris posterior|zeugopod of hind limb|crus of hindlimb|posterior curral region|regio surae|lower extremity middle limb segment|lower extremity zeugopod|middle limb segment of hindlimb|calf of leg|sural region|intermediate segment of free lower limb|posterior region of leg|hindlimb epipodium|hindlimb zeugopod|hind limb middle limb segment|posterior leg region|middle limb segment of hind limb|crus|lower leg|shank|sura
GM03117 cell,GM03117
SBC-3 cell,SBC-3
ND12749 cell,ND12749
DA01015 cell,DA01015
GM10867 cell,GM10867
HCC1419 cell,HCC1419
DA03085 cell,DA03085
MDCK (NBL-2) cell,MDCK (NBL-2)
AG07953 cell,AG07953
GM07539 cell,GM07539
DA03595 cell,DA03595
GM07336 cell,GM07336
LM00024 cell,LM00024
DA01479 cell,DA01479
GM18941 cell,GM18941
GM06150 cell,GM06150
immortal human pelvic fin-derived cell line cell,
immortal Leydig cell line cell,immortal Leydig cell line
ND04983 cell,ND04983
GM07132 cell,GM07132
IGL033/99 cell,IGL033/99
prokaryotic metabolite,prokaryotic metabolites
RCB1423 cell,BHK-21|RCB1423
GM21453 cell,GM21453
ND14416 cell,ND14416
GM04513 cell,GM04513
ND00663 cell,ND00663
GP-16 cell,GP-16
RCB1115 cell,&psi;CRIP-MFGneo|RCB1115
Hs 200.T cell,Hs 200.T
HEV0399 cell,HEV0399
GM15165 cell,GM15165
A-204 cell,A-204
OVISE cell,OVISE
IGF051/93 cell,IGF051/93
GM09614 cell,GM09614
Hs 938.T cell,Hs 938.T
GM17370 cell,GM17370
GM17398 cell,GM17398
DA03681 cell,DA03681
G-401 cell,G-401
DA04002 cell,DA04002
GM05908 cell,GM05908
GM11120 cell,GM11120
AG15792 cell,AG15792
GM00220 cell,GM00220
CCD-19Lu cell,CCD-19Lu
GM16788 cell,GM16788
IGF029/75 cell,IGF029/75
MM36We cell,MM36We
Collagen,Collagen
IGF078/87 cell,IGF078/87
CL-34 cell,CL34|CVCL_1980
DA00886 cell,DA00886
GM16447 cell,GM16447
GM18972 cell,GM18972
GM02993 cell,GM02993
BLn cell,BLn
immortal saddlebacked tamarin thigh-derived fibroblast cell line cell,
ND11083 cell,ND11083
ND11442 cell,ND11442
DA03563 cell,DA03563
RTgill-W1 cell,RTgill-W1
GM15144 cell,GM15144
IGF093/89 cell,IGF093/89
digestive system process,
cellular component assembly,cellular component assembly at cellular level|cell structure assembly
ND13923 cell,ND13923
PromoCell cardiomyocytes Line F cell,
endocrine pancreas,islets of Langerhans part of pancreas|endocrine part of pancreas|endocrine pancreas|pars endocrina pancreatis
peripheral nervous system,PNS|systema nervosum periphericum|pars peripherica
exocrine pancreas,exocrine part of pancreas|exocrine component of pancreas|pars exocrina pancreatis|exocrine pancreas
non-material anatomical boundary,anatomical boundary
zone of skin,portion of skin|skin region|region of skin|skin|skin zone
camera-type eye,vertebrate eye|orbital region|camera-type eye plus associated structures|orbital part of face|eyes|eye|regio orbitalis
somatic nervous system,"somatic peripheral nervous system|PNS - somatic|somatic part of peripheral nervous system|somatic nervous system, somatic division"
GM07992 cell,GM07992
GM14535 cell,GM14535
ND14278 cell,ND14278
GM11477 cell,GM11477
DA03975 cell,DA03975
WRL 68 cell,WRL 68
PA317 cell line   containing JR-gal cell,PA317 cell line   containing JR-gal
ND13409 cell,ND13409
HP6003 cell,HP6003
17beta-hydroxy steroid,17beta-hydroxy steroids|17beta-hydroxysteroid|17beta-hydroxysteroids|17beta-hydroxy steroid
FG86 cell,FG86
GM03941 cell,GM03941
GM05002 cell,GM05002
GM12697 cell,GM12697
"GMK,AH-1 cell","GMK,AH-1"
ND11004 cell,ND11004
HEV0054 cell,HEV0054
GM06526 cell,GM06526
GM07847 cell,GM07847
ND00027 cell,ND00027
IGF071/80 cell,IGF071/80
hematological disorder of fetus and newborn,
CC55 cell,CC55
S008919 cell,S008919
GM20434 cell,GM20434
GM02135 cell,GM02135
GM19359 cell,GM19359
74-11-10 cell,74-11-10
HSC0098 cell,HSC0098|YAN3269
DA00534 cell,DA00534
GB95 cell,GB95
DA03419 cell,DA03419
DA04037 cell,DA04037
ND13183 cell,ND13183
CA46 cell,CA46
GM11986 cell,GM11986
GM19404 cell,GM19404
DA05238 cell,DA05238
S008975 cell,S008975
COLO-680N cell,COLO-680N
GM11168 cell,GM11168
mSXL 5 cell,mSXL 5
IGL007/91 cell,IGL007/91
DA00631 cell,DA00631
H18/7 cell,H18/7
"hematopoietic oligopotent progenitor cell, lineage-negative",
group 1 innate lymphoid cell,
innate lymphoid cell,
GM17242 cell,GM17242
ND12038 cell,ND12038
GM01041 cell,GM01041
HQ00398 cell,HQ00398
ND11641 cell,ND11641
DA00790 cell,DA00790
DA05425 cell,DA05425
immortal endocrine cell line cell,immortal endocrine cell line
immortal mouse monocyte cell line cell,
DA04779 cell,DA04779
P388D1 (IL-1) cell,P388D1 (IL-1)
GM15537 cell,GM15537
GM12764 cell,GM12764
ND12633 cell,ND12633
S003651 cell,S003651
PR00099 cell,PR00099
DA00020 cell,DA00020
DA03096 cell,DA03096
AG08034 cell,AG08034
CF48.Mg cell,CF48.Mg
DA01186 cell,DA01186
7G7B6 cell,7G7B6
HQ00871 cell,HQ00871
IGF031/93 cell,IGF031/93
localization,establishment and maintenance of cellular component location|establishment and maintenance of substance location|establishment and maintenance of substrate location|single organism localization|single-organism localization|localisation|establishment and maintenance of position|establishment and maintenance of localization
HQ00313 cell,HQ00313
ND09791 cell,ND09791
SMC95S cell,SMC95S
NMu3Li cell,NMu3Li
GM09495 cell,GM09495
DA03378 cell,DA03378
GM11754 cell,GM11754
RCB0785 cell,FCP-S3H|RCB0785
GM15490 cell,GM15490
GM13117 cell,GM13117
ND14514 cell,ND14514
organic heterocyclic compound,organic heterocycle|organic heterocyclic compounds
IGF067/83 cell,IGF067/83
GM19095 cell,GM19095
DA01660 cell,DA01660
ND03311 cell,ND03311
HQ00674 cell,HQ00674
ribonucleoprotein complex subunit organization,ribonucleoprotein complex subunit organisation|protein-RNA complex subunit organization|RNA-protein complex subunit organization
ND01250 cell,ND01250
GAa85F cell,GAa85F
