assay_chembl_id,assay_organism,assay_type,assay_type_description,description,compound_ids,clinical_trial_stages
CHEMBL3073583,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) NCI-H322M cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3073584,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) NCI-H23 cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3073585,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) HOP92 cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3073586,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) NCI-H226 cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3074030,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) EKVX cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3070499,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) HOP62 cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3070500,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) A549/ATCC cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3070501,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) SR cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3070502,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) MOLT4 cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3070503,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) RPMI8226 cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3070504,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) K562 cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3070505,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) HL-60(TB) cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3070950,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) CCRF-CEM cells after 48 hr by SRB assay,"CHEMBL2296401, CHEMBL2296401, CHEMBL2295988, CHEMBL2295988, CHEMBL2295982, CHEMBL2295982, CHEMBL2296406, CHEMBL2296406, CHEMBL2296401, CHEMBL2295988, CHEMBL2295982, CHEMBL2296406","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3075186,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) MCF7 cells assessed as inhibition of cell proliferation after 24 hr by MTT assay,"CHEMBL185, CHEMBL34259, CHEMBL2299310, CHEMBL2299309, CHEMBL2299308, CHEMBL2299307, CHEMBL2299306, CHEMBL2299305, CHEMBL2299304, CHEMBL2299303, CHEMBL2299302, CHEMBL2299301, CHEMBL2299300, CHEMBL2299299, CHEMBL2299298, CHEMBL2299297, CHEMBL2299296","4.0, 4.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3075187,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) NCI lung cancer cell assessed as inhibition of cell proliferation after 24 hr by MTT assay,"CHEMBL185, CHEMBL34259, CHEMBL2299310, CHEMBL2299309, CHEMBL2299308, CHEMBL2299307, CHEMBL2299306, CHEMBL2299305, CHEMBL2299304, CHEMBL2299303, CHEMBL2299302, CHEMBL2299301, CHEMBL2299300, CHEMBL2299299, CHEMBL2299298, CHEMBL2299297, CHEMBL2299296","4.0, 4.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3074362,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) BGC823 cells assessed as inhibition of cell viability after 96 hr by MTT assay,"CHEMBL2296948, CHEMBL2296947, CHEMBL2296946, CHEMBL2296945, CHEMBL2296944, CHEMBL2296943, CHEMBL2296942, CHEMBL2296941, CHEMBL2296940, CHEMBL2296939, CHEMBL2296938, CHEMBL2296937, CHEMBL2297181, CHEMBL2297180, CHEMBL2296955, CHEMBL2296954, CHEMBL2296953, CHEMBL2296952, CHEMBL2296951, CHEMBL2296950, CHEMBL2296949, CHEMBL2297187, CHEMBL2297186, CHEMBL2297185, CHEMBL2297184, CHEMBL2297183","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3074363,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) A2780 cells assessed as inhibition of cell viability after 96 hr by MTT assay,"CHEMBL2296948, CHEMBL2296947, CHEMBL2296946, CHEMBL2296945, CHEMBL2296944, CHEMBL2296943, CHEMBL2296942, CHEMBL2296941, CHEMBL2296940, CHEMBL2296939, CHEMBL2296938, CHEMBL2296937, CHEMBL2297181, CHEMBL2297180, CHEMBL2296955, CHEMBL2296954, CHEMBL2296953, CHEMBL2296952, CHEMBL2296951, CHEMBL2296950, CHEMBL2296949, CHEMBL2297187, CHEMBL2297186, CHEMBL2297185, CHEMBL2297184, CHEMBL2297183","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3074364,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) MCF7 cells assessed as inhibition of cell viability after 96 hr by MTT assay,"CHEMBL2296948, CHEMBL2296947, CHEMBL2296946, CHEMBL2296945, CHEMBL2296944, CHEMBL2296943, CHEMBL2296942, CHEMBL2296941, CHEMBL2296940, CHEMBL2296939, CHEMBL2296938, CHEMBL2296937, CHEMBL2297181, CHEMBL2297180, CHEMBL2296955, CHEMBL2296954, CHEMBL2296953, CHEMBL2296952, CHEMBL2296951, CHEMBL2296950, CHEMBL2296949, CHEMBL2297187, CHEMBL2297186, CHEMBL2297185, CHEMBL2297184, CHEMBL2297183","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3074365,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) A549 cells assessed as inhibition of cell viability after 96 hr by MTT assay,"CHEMBL2296948, CHEMBL2296947, CHEMBL2296946, CHEMBL2296945, CHEMBL2296944, CHEMBL2296943, CHEMBL2296942, CHEMBL2296941, CHEMBL2296940, CHEMBL2296939, CHEMBL2296938, CHEMBL2296937, CHEMBL2297181, CHEMBL2297180, CHEMBL2296955, CHEMBL2296954, CHEMBL2296953, CHEMBL2296952, CHEMBL2296951, CHEMBL2296950, CHEMBL2296949, CHEMBL2297187, CHEMBL2297186, CHEMBL2297185, CHEMBL2297184, CHEMBL2297183","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3074366,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) HeLa cells assessed as inhibition of cell viability after 96 hr by MTT assay,"CHEMBL2296948, CHEMBL2296947, CHEMBL2296946, CHEMBL2296945, CHEMBL2296944, CHEMBL2296943, CHEMBL2296942, CHEMBL2296941, CHEMBL2296940, CHEMBL2296939, CHEMBL2296938, CHEMBL2296937, CHEMBL2297181, CHEMBL2297180, CHEMBL2296955, CHEMBL2296954, CHEMBL2296953, CHEMBL2296952, CHEMBL2296951, CHEMBL2296950, CHEMBL2296949, CHEMBL2297187, CHEMBL2297186, CHEMBL2297185, CHEMBL2297184, CHEMBL2297183","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL3072743,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) HL60 cells after 48 hr by CC108 microcell counter analysis,"CHEMBL34259, CHEMBL2297230, CHEMBL2297002, CHEMBL2297000, CHEMBL2296998, CHEMBL2297003, CHEMBL2296999, CHEMBL2297001, CHEMBL2296997, CHEMBL2296996, CHEMBL2296995","4.0, None, None, None, None, None, None, None, None, None, None"
CHEMBL3072745,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) HBL100 cells after 72 hr by MTT assay,"CHEMBL2297001, CHEMBL2296998, CHEMBL2296999, CHEMBL2296997, CHEMBL2297003, CHEMBL2296996, CHEMBL2297230, CHEMBL2297000, CHEMBL2297002, CHEMBL2296995, CHEMBL34259","None, None, None, None, None, None, None, None, None, None, 4.0"
CHEMBL3069182,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) PC3 cells at 0.1 to 100 uM by SRB assay,"CHEMBL359744, CHEMBL2297455, CHEMBL2297461","None, None, None"
CHEMBL3069183,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) OVCAR3 cells at 0.1 to 100 uM by SRB assay,"CHEMBL359744, CHEMBL2297455, CHEMBL2297461","None, None, None"
CHEMBL3069184,Homo sapiens,F,Functional,Anticancer activity against Homo sapiens (human) MDA-MB-435 cells at 0.1 to 100 uM by SRB assay,"CHEMBL359744, CHEMBL2297455, CHEMBL2297461","None, None, None"
CHEMBL2319329,Mus musculus,F,Functional,Anticancer activity against 1 x 10'5 cells mouse NSF202 cells assessed as decrease in viable cells at 1 ug/ml measured after 2 days by trypan blue exclusion method,CHEMBL2314658,None
CHEMBL2319330,Mus musculus,F,Functional,Anticancer activity against 2 x 10'5 cells mouse NSF202 cells assessed as cell growth inhibition at 1.02 uM measured after 2 days by trypan blue exclusion method,CHEMBL2314658,None
CHEMBL2319331,Mus musculus,F,Functional,Anticancer activity against 1 x 10'5 cells mouse NSF202 cells assessed as cell growth inhibition at 1.02 uM measured after 2 days by trypan blue exclusion method,CHEMBL2314658,None
CHEMBL2321088,Homo sapiens,F,Functional,Anticancer activity against human MOLT4 cells assessed as cell viability after 72 hrs by MTT reduction assay,"CHEMBL2316331, CHEMBL2316330, CHEMBL2316329, CHEMBL2316328, CHEMBL2316327, CHEMBL2316326, CHEMBL2316325, CHEMBL2316324, CHEMBL2316323, CHEMBL2316322, CHEMBL2316321, CHEMBL2316320, CHEMBL2316319, CHEMBL2062759, CHEMBL2316318, CHEMBL2316333, CHEMBL2316332, CHEMBL2316335, CHEMBL2062729, CHEMBL2316334","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2321089,Homo sapiens,F,Functional,Anticancer activity against human MCF7 cells assessed as cell viability after 72 hrs by MTT reduction assay,"CHEMBL2316331, CHEMBL2316330, CHEMBL2316329, CHEMBL2316328, CHEMBL2316327, CHEMBL2316326, CHEMBL2316325, CHEMBL2316324, CHEMBL2316323, CHEMBL2316322, CHEMBL2316321, CHEMBL2316320, CHEMBL2316319, CHEMBL2062759, CHEMBL2316318, CHEMBL2316333, CHEMBL2316332, CHEMBL2316335, CHEMBL2062729, CHEMBL2316334","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2321090,Homo sapiens,F,Functional,Anticancer activity against human K562 cells assessed as cell viability after 72 hrs by MTT reduction assay,"CHEMBL2316331, CHEMBL2316330, CHEMBL2316329, CHEMBL2316328, CHEMBL2316327, CHEMBL2316326, CHEMBL2316325, CHEMBL2316324, CHEMBL2316323, CHEMBL2316322, CHEMBL2316321, CHEMBL2316320, CHEMBL2316319, CHEMBL2062759, CHEMBL2316318, CHEMBL2316333, CHEMBL2316332, CHEMBL2316335, CHEMBL2062729, CHEMBL2316334","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2321091,Homo sapiens,F,Functional,Anticancer activity against human A549 cells assessed as cell viability after 72 hrs by MTT reduction assay,"CHEMBL2316331, CHEMBL2316330, CHEMBL2316329, CHEMBL2316328, CHEMBL2316327, CHEMBL2316326, CHEMBL2316325, CHEMBL2316324, CHEMBL2316323, CHEMBL2316322, CHEMBL2316321, CHEMBL2316320, CHEMBL2316319, CHEMBL2062759, CHEMBL2316318, CHEMBL2316333, CHEMBL2316332, CHEMBL2316335, CHEMBL2062729, CHEMBL2316334","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2321092,Mus musculus,A,ADME,Anticancer activity against mouse NIH/3T3 cells assessed as cell viability after 72 hrs by MTT reduction assay,"CHEMBL2316331, CHEMBL2316330, CHEMBL2316329, CHEMBL2316328, CHEMBL2316327, CHEMBL2316326, CHEMBL2316325, CHEMBL2316324, CHEMBL2316323, CHEMBL2316322, CHEMBL2316321, CHEMBL2316320, CHEMBL2316319, CHEMBL2062759, CHEMBL2316318, CHEMBL2316333, CHEMBL2316332, CHEMBL2316335, CHEMBL2062729, CHEMBL2316334","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2321316,Homo sapiens,F,Functional,Anticancer activity against human MOLT4 cells assessed as cell viability at 100 uM after 72 hrs by trypan blue exclusion assay,CHEMBL2316334,None
CHEMBL2321317,Homo sapiens,F,Functional,Anticancer activity against human MOLT4 cells assessed as cell viability at 50 uM after 72 hrs by trypan blue exclusion assay,"CHEMBL2316325, CHEMBL2316319, CHEMBL2062729","None, None, None"
CHEMBL2321318,Homo sapiens,F,Functional,Anticancer activity against human MOLT4 cells assessed as cell viability at 20 uM after 72 hrs by trypan blue exclusion assay,"CHEMBL2316324, CHEMBL2316335","None, None"
CHEMBL2321319,Homo sapiens,F,Functional,Anticancer activity against human MOLT4 cells assessed as cell viability at 75 uM after 72 hrs by trypan blue exclusion assay,"CHEMBL2316321, CHEMBL2316332","None, None"
CHEMBL2321320,Homo sapiens,F,Functional,Anticancer activity against human MOLT4 cells assessed as cell viability at 40 uM after 72 hrs by trypan blue exclusion assay,CHEMBL2316320,None
CHEMBL2321321,Homo sapiens,F,Functional,Anticancer activity against human MOLT4 cells assessed as cell viability at 65 uM after 72 hrs by trypan blue exclusion assay,CHEMBL2316323,None
CHEMBL2321322,Homo sapiens,F,Functional,Anticancer activity against human MOLT4 cells assessed as cell viability at 25 uM after 72 hrs by trypan blue exclusion assay,CHEMBL2316326,None
CHEMBL2321323,Homo sapiens,F,Functional,Anticancer activity against human MOLT4 cells assessed as cell viability at 10 uM after 72 hrs by trypan blue exclusion assay,CHEMBL2316330,None
CHEMBL2344660,Homo sapiens,F,Functional,Anticancer activity against human SGC7901 cells assessed as cell survival measured after 48 hrs by MTT assay,"CHEMBL2333205, CHEMBL2333217, CHEMBL2333212, CHEMBL2333213, CHEMBL2333214, CHEMBL2333211, CHEMBL2333215, CHEMBL185, CHEMBL2333216, CHEMBL2333210, CHEMBL2333207, CHEMBL2333208, CHEMBL1684641, CHEMBL1542147, CHEMBL1487360, CHEMBL2333209","None, None, None, None, None, None, None, 4.0, None, None, None, None, None, None, None, None"
CHEMBL2344661,Mus musculus,F,Functional,Anticancer activity against mouse B16F10 cells assessed as cell survival measured after 48 hrs by MTT assay,"CHEMBL2333203, CHEMBL2333204, CHEMBL2333205, CHEMBL2333217, CHEMBL2333212, CHEMBL2333213, CHEMBL2333214, CHEMBL2333211, CHEMBL2333215, CHEMBL2333216, CHEMBL2333210, CHEMBL2333207, CHEMBL185, CHEMBL2333208, CHEMBL1684641, CHEMBL1542147, CHEMBL1487360, CHEMBL2333209","None, None, None, None, None, None, None, None, None, None, None, None, 4.0, None, None, None, None, None"
CHEMBL2388907,Mus musculus,F,Functional,"Anticancer activity against mouse BA/F3 cells expressing JAK2 V617F mutation allografted in Harlan SCID mouse assessed as increase in lifespan at 45 mg/kg, po by luciferase reporter gene assay relative to control",CHEMBL1879463,3.0
CHEMBL2388908,Mus musculus,F,Functional,"Anticancer activity against mouse BA/F3 cells expressing JAK2 V617F mutation allografted in Harlan SCID mouse assessed as increase in lifespan at 60 mg/kg, po by luciferase reporter gene assay relative to control",CHEMBL1789941,4.0
CHEMBL2388909,Mus musculus,F,Functional,"Anticancer activity against mouse BA/F3 cells expressing JAK2 V617F mutation allografted in Harlan SCID mouse assessed as mean survival days at 45 mg/kg, po by luciferase reporter gene assay (Rvb = 16 days)",CHEMBL1879463,3.0
CHEMBL2388910,Mus musculus,F,Functional,"Anticancer activity against mouse BA/F3 cells expressing JAK2 V617F mutation allografted in Harlan SCID mouse assessed as mean survival days at 60 mg/kg, po by luciferase reporter gene assay (Rvb = 16 days)",CHEMBL1789941,4.0
CHEMBL2394708,Homo sapiens,F,Functional,Anticancer activity against human HepG2 cells assessed as viable cells at 10'-5 M after 48 hrs by XTT assay relative to control,"CHEMBL2392445, CHEMBL2392444, CHEMBL2392443, CHEMBL2392442, CHEMBL2392441, CHEMBL2392440, CHEMBL2392439, CHEMBL2392438, CHEMBL2392437, CHEMBL2392446, CHEMBL2392436","None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2394709,Homo sapiens,F,Functional,Anticancer activity against human HepG2 cells assessed as viable cells at 10'-4 M after 48 hrs by XTT assay relative to control,"CHEMBL2392445, CHEMBL2392444, CHEMBL2392443, CHEMBL2392442, CHEMBL2392441, CHEMBL2392440, CHEMBL2392439, CHEMBL2392438, CHEMBL2392437, CHEMBL2392446, CHEMBL2392436","None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2394710,Homo sapiens,F,Functional,Anticancer activity against human DLD1 cells assessed as viable cells at 10'-5 M after 48 hrs by XTT assay relative to control,"CHEMBL2392445, CHEMBL2392444, CHEMBL2392443, CHEMBL2392442, CHEMBL2392441, CHEMBL2392440, CHEMBL2392439, CHEMBL2392438, CHEMBL2392437, CHEMBL2392446, CHEMBL2392436","None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2394711,Homo sapiens,F,Functional,Anticancer activity against human DLD1 cells assessed as viable cells at 10'-4 M after 48 hrs by XTT assay relative to control,"CHEMBL2392445, CHEMBL2392444, CHEMBL2392443, CHEMBL2392442, CHEMBL2392441, CHEMBL2392440, CHEMBL2392439, CHEMBL2392438, CHEMBL2392437, CHEMBL2392446, CHEMBL2392436","None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2394712,Homo sapiens,F,Functional,Anticancer activity against human Jurkat cells assessed as viable cells at 10'-5 M after 48 hrs by XTT assay relative to control,"CHEMBL2392445, CHEMBL2392444, CHEMBL2392443, CHEMBL2392442, CHEMBL2392441, CHEMBL2392440, CHEMBL2392439, CHEMBL2392438, CHEMBL2392446, CHEMBL2392436, CHEMBL2392437","None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2394713,Homo sapiens,F,Functional,Anticancer activity against human Jurkat cells assessed as viable cells at 10'-4 M after 48 hrs by XTT assay relative to control,"CHEMBL2392445, CHEMBL2392444, CHEMBL2392443, CHEMBL2392442, CHEMBL2392441, CHEMBL2392440, CHEMBL2392439, CHEMBL2392438, CHEMBL2392446, CHEMBL2392436, CHEMBL2392437","None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2394714,Homo sapiens,F,Functional,Anticancer activity against human HepG2 cells assessed as viable cells at 10'-5 M after 24 hrs by XTT assay relative to control,"CHEMBL2392445, CHEMBL2392444, CHEMBL2392443, CHEMBL2392442, CHEMBL2392441, CHEMBL2392440, CHEMBL2392439, CHEMBL2392438, CHEMBL2392446, CHEMBL2392436, CHEMBL2392437","None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2394715,Homo sapiens,F,Functional,Anticancer activity against human HepG2 cells assessed as viable cells at 10'-4 M after 24 hrs by XTT assay relative to control,"CHEMBL2392445, CHEMBL2392444, CHEMBL2392443, CHEMBL2392442, CHEMBL2392441, CHEMBL2392440, CHEMBL2392439, CHEMBL2392438, CHEMBL2392446, CHEMBL2392436, CHEMBL2392437","None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2394716,Homo sapiens,F,Functional,Anticancer activity against human DLD1 cells assessed as viable cells at 10'-4 M after 24 hrs by XTT assay relative to control,"CHEMBL2392445, CHEMBL2392444, CHEMBL2392443, CHEMBL2392442, CHEMBL2392441, CHEMBL2392440, CHEMBL2392439, CHEMBL2392438, CHEMBL2392446, CHEMBL2392436, CHEMBL2392437","None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2394868,Homo sapiens,F,Functional,Anticancer activity against human DLD1 cells assessed as viable cells at 10'-5 M after 24 hrs by XTT assay relative to control,"CHEMBL2392445, CHEMBL2392444, CHEMBL2392443, CHEMBL2392442, CHEMBL2392441, CHEMBL2392440, CHEMBL2392439, CHEMBL2392438, CHEMBL2392446, CHEMBL2392436, CHEMBL2392437","None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2394869,Homo sapiens,F,Functional,Anticancer activity against human Jurkat cells assessed as viable cells at 10'-5 M after 24 hrs by XTT assay relative to control,"CHEMBL2392445, CHEMBL2392444, CHEMBL2392443, CHEMBL2392442, CHEMBL2392441, CHEMBL2392440, CHEMBL2392439, CHEMBL2392438, CHEMBL2392446, CHEMBL2392436, CHEMBL2392437","None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2394870,Homo sapiens,F,Functional,Anticancer activity against human Jurkat cells assessed as viable cells at 10'-4 M after 24 hrs by XTT assay relative to control,"CHEMBL2392445, CHEMBL2392444, CHEMBL2392443, CHEMBL2392442, CHEMBL2392441, CHEMBL2392440, CHEMBL2392439, CHEMBL2392438, CHEMBL2392446, CHEMBL2392436, CHEMBL2392437","None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2395494,Homo sapiens,F,Functional,Anticancer activity against human A549 cells at =/> 100 uM after 48 hrs by MTT assay,"CHEMBL2392998, CHEMBL2392997, CHEMBL2392982, CHEMBL2392981, CHEMBL2392978, CHEMBL2393000","None, None, None, None, None, None"
CHEMBL2395495,Homo sapiens,F,Functional,Anticancer activity against human HeLa cells at =/> 100 uM after 48 hrs by MTT assay,"CHEMBL2392998, CHEMBL2392997, CHEMBL2392982, CHEMBL2392981, CHEMBL2392978, CHEMBL2393000","None, None, None, None, None, None"
CHEMBL2395498,Homo sapiens,F,Functional,Anticancer activity against human A549 cells after 48 hrs by MTT assay,"CHEMBL2392992, CHEMBL2392991, CHEMBL2392990, CHEMBL2392989, CHEMBL2392984, CHEMBL2392983, CHEMBL2392980, CHEMBL539581, CHEMBL2392888, CHEMBL2392979, CHEMBL1643105, CHEMBL2392986, CHEMBL2392985, CHEMBL2392996, CHEMBL2392987, CHEMBL2392890, CHEMBL2392889, CHEMBL2392993, CHEMBL2392995, CHEMBL2392994, CHEMBL2392988","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2395499,Homo sapiens,F,Functional,Anticancer activity against human Hep3B cells after 48 hrs by MTT assay,"CHEMBL2392992, CHEMBL2392991, CHEMBL2392990, CHEMBL2392989, CHEMBL2392983, CHEMBL2392984, CHEMBL2392980, CHEMBL539581, CHEMBL1643105, CHEMBL2392888, CHEMBL2392979, CHEMBL2392986, CHEMBL2392996, CHEMBL2392985, CHEMBL2392890, CHEMBL2392987, CHEMBL2392994, CHEMBL2392988, CHEMBL2392889, CHEMBL2392993, CHEMBL2392995","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2395500,Homo sapiens,F,Functional,Anticancer activity against human HeLa cells after 48 hrs by MTT assay,"CHEMBL2392992, CHEMBL2392991, CHEMBL2392990, CHEMBL2392989, CHEMBL2392983, CHEMBL2392984, CHEMBL2392980, CHEMBL539581, CHEMBL2392888, CHEMBL1643105, CHEMBL2392979, CHEMBL2392986, CHEMBL2392985, CHEMBL2392996, CHEMBL2392987, CHEMBL2392890, CHEMBL2392889, CHEMBL2392993, CHEMBL2392995, CHEMBL2392988, CHEMBL2392994","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2395501,Homo sapiens,F,Functional,Anticancer activity against human Hep3B cells at =/> 100 uM after 48 hrs by MTT assay,"CHEMBL2392998, CHEMBL2392997, CHEMBL2392982, CHEMBL2392981, CHEMBL2392978, CHEMBL2393000","None, None, None, None, None, None"
CHEMBL2401148,Homo sapiens,F,Functional,Anticancer activity against wild-type human MCF7 cells assessed as cell viability at 1 ug/mL after 24 hrs by MTT assay relative to control,"CHEMBL2397427, CHEMBL2397426, CHEMBL2397425, CHEMBL2397424, CHEMBL2397423, CHEMBL2397422, CHEMBL2397432, CHEMBL2397431, CHEMBL2397430, CHEMBL2140680, CHEMBL2397429, CHEMBL2397428","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL2401149,Homo sapiens,F,Functional,Anticancer activity against wild-type human MCF7 cells assessed as cell viability at 0.001 ug/mL after 24 hrs by MTT assay relative to control,"CHEMBL2397427, CHEMBL2397426, CHEMBL2397425, CHEMBL2397424, CHEMBL2397423, CHEMBL2397422, CHEMBL2397432, CHEMBL2397431, CHEMBL2397430, CHEMBL2140680, CHEMBL2397429, CHEMBL2397428","None, None, None, None, None, None, None, None, None, None, None, None"
